business_id,city,state,latitude,longitude,categories,checkin_count
N3_Gs3DnX4k9SgpwJxdEfw,Austin,TX,30.346169,-97.711458,"Shopping, Jewelry Repair, Appraisal Services, Local Services, Jewelry, Engraving, Gold Buyers",14
tXvdYGvlEceDljN8gt2_3Q,Austin,TX,30.172706199999997,-97.7999199,"Barbers, Beauty & Spas",1
nTIhpR7MhsALPwg_Hh14EA,Austin,TX,30.3263767015,-97.70454347129998,"Hotels, Hotels & Travel, Event Planning & Services",475
8XyEpVdAO0o6iVkVxkWosQ,Austin,TX,30.2464652,-97.7787377,"Home Services, Real Estate, Property Management",0
NVfOn7TdnHbaGH97CVB_Qg,Austin,TX,30.244902000000003,-97.85740899999999,"Chiropractors, Health & Medical",33
Xw8tuI30T-xihpzwBV-zJg,Austin,TX,30.243493,-97.730141,"Food Trucks, Restaurants, Specialty Food, Food, Mexican, Ethnic Food",43
s8eTWEtW5WcnL2kUxrOVmw,Austin,TX,30.4016572,-97.7429434,"Diagnostic Services, Doctors, Internal Medicine, Pediatricians, Laboratory Testing, Health & Medical, Family Practice, Surgeons",139
NRPemqVb4qpWFF0Avq_6OQ,Austin,TX,30.234532899999998,-97.8772622,"Bars, Nightlife, Cocktail Bars, Seafood, Restaurants, Sushi Bars",320
XymxusqpIsZFmN_QNQW_fw,Austin,TX,30.2763428964,-97.7479623166,"Adult Education, Education, Colleges & Universities",380
Nhw7on5kevbomM-GzRXy_A,Austin,TX,30.287984,-97.743246,"Colleges & Universities, Education, Hotels & Travel, Public Services & Government, Passport & Visa Services, Travel Services",48
bRsDZ44CD3uhGnRY3NeQhQ,Austin,TX,30.441875407199998,-97.7465811589,"Fast Food, Restaurants, Burgers",137
z-0oY7VxQMQw3JHvdPejrA,Austin,TX,30.230016,-97.73263929999999,"Coffee & Tea, Tex-Mex, Restaurants, Mexican, Food",65
MEC2RzMZwPxzz_9rr0Cpog,Austin,TX,30.215386900000002,-97.7960118,"Local Services, Appliances & Repair",0
gjMCRTs0IZbw9bZLG837Bg,Austin,TX,30.2456728,-97.7688358,"Food, Food Delivery Services",0
Z4UNrp2VpqiEuc39eDsjdg,Austin,TX,30.374528499999997,-97.9868094,"Skin Care, Hair Salons, Hair Removal, Beauty & Spas, Day Spas, Nail Salons, Massage",13
AzAT-AWII5PJVPIGB37tGQ,Austin,TX,30.3664728,-97.74994620000001,"Watches, Shopping",21
qTdz29Nf3zoALiDDEKfWlw,Austin,TX,30.229912699999996,-97.7326495,"Taiwanese, Vietnamese, Restaurants",111
zcSOyUPQopa6f8MU_cdNGA,Austin,TX,30.217545299999998,-97.85583570000001,"Professional Services, Home Services, Tree Services",0
0GMFteLQFzUogXFK9STGtA,Austin,TX,30.309819,-97.749721,"Chiropractors, Health & Medical, Nutritionists",0
ipsTYb3c_OcuzmZZyhWh3w,Austin,TX,30.3568213,-97.730807,"Dog Walkers, Pet Sitting, Pet Services, Pets",4
mHryNAZtrclEGwnBNfQWNQ,Austin,TX,30.3714463,-97.724509,"Barbers, Hair Extensions, Day Spas, Hair Salons, Beauty & Spas, Hair Loss Centers, Nail Salons, Massage",74
0Q7svPlpg8YOy_mzsr6vww,Austin,TX,30.1274614,-97.730807,"Spray Tanning, Beauty & Spas, Tanning",7
n4dg97jn6hYFLgFq_Mlkqw,Austin,TX,30.433797,-97.7663098,"Insurance, Home & Rental Insurance, Auto Insurance, Financial Services",0
pewcbd-NCgj1LXJNifFA4g,Austin,TX,30.2676989,-97.7426601,"Food, Coffee & Tea",124
-0AVYSnp6IZtsm6QFeGIdw,Austin,TX,30.279192,-97.702161,"Churches, Religious Organizations",113
c7SpDCrvkoFWOsMQH1gmkQ,Austin,TX,30.3930201174,-97.67733337370001,"Home Services, Apartments, Real Estate",127
Pk4ZwXwUU50BDn5gqw_rKg,Austin,TX,30.162081,-97.789132,"Italian, Salad, Pizza, Nightlife, Restaurants, Bars",338
A40p61gnz_7orVAr9YYHPg,Austin,TX,30.2270325,-97.7842669,"Medical Supplies, Orthotics, Prosthetics, Health & Medical, Shopping",1
p9_tl3SckaGUjToGCz2frA,Austin,TX,30.2515134949,-97.7663503337,"Beauty & Spas, Massage Therapy, Health & Medical, Massage",1
1-UieVZg_JBMq92xhF633A,Austin,TX,30.3889868,-97.67108890000002,"Florists, Event Planning & Services, Shopping, Flowers & Gifts",0
