Type1,Count1,Type2,Count2,Type3,Count3
Doctors,0,Specialty Schools,25,Chiropractors,0
Teeth Whitening,0,Investing,26,Piercing,0
Face Painting,0,Creperies,25,Party & Event Planning,1
American (Traditional),0,Steakhouses,0,Tax Services,25
Vacation Rentals,1,Train Stations,0,Fitness & Instruction,24
Mountain Biking,5,Convenience Stores,20,Fitness & Instruction,0
Sporting Goods,24,Hair Salons,1,Piercing,0
Libraries,25,Tours,0,Tours,0
Shaved Ice,25,Tires,0,Motorcycle Repair,0
Post Offices,0,Advertising,22,Police Departments,3
Accountants,0,Casinos,25,Lawyers,0
Lawyers,17,Legal Services,1,Lawyers,7
Fitness & Instruction,3,Fitness & Instruction,10,Hiking,12
Specialty Food,0,Specialty Food,0,Test Preparation,26
Organic Stores,0,International Grocery,1,Luggage,24
Comedy Clubs,23,Japanese,2,Middle Eastern,0
Bars,26,Doctors,0,Doctors,0
Fitness & Instruction,0,Fitness & Instruction,1,Hiking,24
Fitness & Instruction,0,Fitness & Instruction,1,Hiking,25
Photographers,4,Tutoring Centers,16,Party Bus Rentals,5
American (Traditional),0,Fitness & Instruction,25,Southern,0
Marketing,26,Train Stations,0,Train Stations,0
Tattoo,3,Makeup Artists,0,Wedding Chapels,22
Churches,25,RV Rental,0,Vacation Rentals,0
Hostels,0,Train Stations,25,Hotels,0
Accountants,0,Lawyers,0,Buffets,25
Landmarks & Historical Buildings,23,Airports,0,Train Stations,3
Police Departments,0,Air Duct Cleaning,26,Departments of Motor Vehicles,0
Indian,0,Auto Detailing,25,Chinese,0
Fitness & Instruction,3,Aquariums,22,Dance Clubs,1
Preschools,25,Dentists,0,Dentists,0
Notaries,10,Laundry Services,1,Buffets,14
Fashion,22,Fitness & Instruction,2,Sports Clubs,1
Gelato,22,Vegan,4,Salad,0
Adult Entertainment,0,Dance Clubs,0,Churches,25
Golf,0,Lakes,19,Fitness & Instruction,6
Ticket Sales,23,Specialty Schools,1,Fitness & Instruction,1
Airports,0,Train Stations,0,Watch Repair,26
Burgers,0,Cafes,0,Sewing & Alterations,25
Golf,25,Fitness & Instruction,0,Fitness & Instruction,0
Security Services,0,French,25,Lawyers,0
Bars,0,Bars,0,Magicians,25
